"0","苏州爱启网络科技有限公司","后端开发程序员","苏州-吴江","6千-1.2万"
"1","江苏耀群工业技术有限公司","后端开发工程师","苏州-吴中","1万-1.5万"
"2","苏州毫末科技有限责任公司","后端开发","苏州-张家港","8千-1.2万"
"3","苏州爱启网络科技有限公司","golang后端开发","苏州-吴江","6千-1.2万"
"4","苏州观瑞汽车技术有限公司","后端开发工程师","苏州-相城","8千-1.6万"
"5","天星先进材料科技(苏州)有限公司","后端开发工程师","苏州-吴江","1万-1.2万"
"6","慧码科技(苏州)有限公司","Java后端开发工程师","苏州-虎丘","4千-6千"
"7","苏州启荣信息科技有限公司","C#后端开发","苏州","6千-1.2万"
"8","深圳市讯方技术股份有限公司","后端开发（Python/Golang）","苏州-虎丘","8千-1.3万"
"9","江苏明岱信息科技有限公司","JAVA开发工程师（前端+后端）","苏州","7千-1.4万"
"10","天津泰达低碳经济促进中心有限公司","Java后端开发工程师","苏州-吴中","1.5万-1.9万"
"11","中银金融商务(昆山)有限公司","应用开发工程师（后端方向）","苏州","1.5万-2万"
"12","立臻科技(昆山)有限公司","IT程序设计后端开发工程师（ITA407）","苏州-昆山","1.3万-2.5万"
"13","大宇宙商业服务(苏州)有限公司","Java后端开发工程师","苏州","1万-2万"
"14","张家港市苏闽金属制品有限公司","前后端开发工程师","苏州","1万-1.5万"
"15","昂凯生命科技(苏州)有限公司","python后端开发工程师","苏州-虎丘","1.5万-2.5万"
"16","中达电子(江苏)有限公司","python后端开发工程师","苏州","1万-1.4万"
"17","湖北楚天龙实业有限公司","Java后端开发工程师","苏州-相城","1.2万-2.4万"
"18","汇运动","后端开发工程师兼运维工程师","苏州-吴中","9千-1.2万"
"19","上海朱立业创业孵化器有限公司","Java后端开发工程师","苏州-虎丘","1.5万-1.8万"
"20","苏州研途教育科技有限公司","高级Python后端开发工程师","苏州-虎丘","1.7万-2.5万"
"21","苏州盛科通信股份有限公司","高级后端开发工程师-综合方向","苏州-工业园区","3万-5万"
"22","江苏拓普森房地产资产评估规划测绘有限公司","GIS后端开发工程师","苏州-吴中","1万-2万"
"23","软通动力信息技术(集团)股份有限公司","python后端开发工程师","苏州-吴中","1.5万-1.8万"
"24","外企德科","后端开发JAVA/C/C++/Python","苏州-虎丘","1.4万-2.8万"
"25","苏州金色未来信息咨询股份有限公司","gis后端开发工程师","苏州-吴中","1.7万-2.5万"
"26","中科吉芯(秦皇岛)信息技术有限公司","后端研发工程师（南京）","苏州-虎丘","1万-1.5万"
"27","外企德科","后端开发工程师","苏州-虎丘","1.5万-3万"
"28","苏州保控电子科技有限公司","Java后台开发工程师","苏州-虎丘","6千-1.2万"
"29","苏州派维斯信息科技有限公司","后台开发","苏州","6千-1.2万"
"0","外企德科","前端、后端软件开发【多部门、多城市可选】","苏州-虎丘","1.5万-3万"
"1","苏州美糯爱医疗科技有限公司","后端工程师","苏州-虎丘","1.2万-1.8万"
"2","苏州派维斯信息科技有限公司","后台开发（对日项目）","苏州","6千-1.2万"
"3","外企德科","软件开发工程师（后端）","苏州-虎丘","1.5万-3万"
"4","苏州生利新能能源科技有限公司","后端工程师","苏州-虎丘","1.8万-2.5万"
"5","苏州爱启网络科技有限公司","golang后端","苏州-吴江","6千-1.2万"
"6","外企德科","前后端通用开发、ios_双休","苏州-吴江","1.5万-3万"
"7","苏州瑞艾思机械设备有限公司","通用后端高级工程师(java)","苏州-吴中","1万-2万"
"8","北京国氢中联氢能科技研究院有限公司","后端工程师","苏州-常熟","1.5万-2.2万"
"9","外企德科","Java后端开发工程师","苏州-虎丘","1.5万-3万"
"10","北京艾芯集成电路设计有限公司","Physicaldesign/ICdesign/后端设计/物理设计","苏州-高新区","3万-6万"
"11","上海添置电子科技有限公司","催收后端M6综合2万+包住宿","苏州-昆山","1万-2万"
"12","中诚智信工程咨询集团股份有限公司","后端算法工程师","苏州-虎丘","1.5万-1.8万"
"13","苏州盛科通信股份有限公司","资深后端研发工程师-APR方向","苏州-工业园区","2万-4万"
"14","北京艾芯集成电路设计有限公司","后端设计主管/Physicaldesignleader","苏州","5万-9万"
"15","外企德科","java、C/c++、js、Python等后端发开工程师","苏州-虎丘","1.8万-3万"
"16","苏州兴财通用网络科技有限公司","java开发工程师（毕业生）","苏州-姑苏","6千-8千"
"17","常熟市景弘盛通信科技股份有限公司","java开发工程师","苏州-常熟","5千-7千"
"18","苏州众壳科技有限公司","Java开发工程师","苏州-吴中","6千-1万"
"19","祎智量芯(江苏)电子科技有限公司","Java开发工程师","苏州-太仓","8千-1.5万"
"20","苏州品创互联信息技术有限公司","java实习生","苏州-虎丘","4千-6千"
"21","南京百力奥网络科技有限公司","Java开发工程师","苏州-吴中","7千-1.4万"
"22","智林(苏州)数字技术有限公司","java开发工程师","苏州-吴中","1万-2万"
"23","北京神州数字科技有限公司","java开发工程师","苏州-吴中","1.2万-1.8万"
"24","苏州七岭山信息科技有限公司","java初级开发工程师","苏州-吴中","4千-8千"
"25","苏州隆泰信息技术有限公司","Java初级程序员（对日ERP定制开发）","苏州-虎丘","5千-7千"
"26","广电运通","java开发工程师-苏州(MJ000221)","苏州-吴中","1万-2万"
"27","北京捷科智诚科技有限公司","Java开发工程师（银行）","苏州-吴中","1.3万-1.8万"
"28","深圳润术物联网技术有限公司","Java开发工程师","苏州-昆山","1.1万-2万"
"29","南京百房通信息科技有限公司","初级工程师java（实习岗位可转正）","苏州-吴中","8千-1.3万"
"0","海隆软件(昆山)有限公司","JAVA/C语言软件开发工程师","苏州-昆山","6千-7千"
"1","广电运通","java开发工程师-苏州(MJ000221)","苏州-吴中","1万-2万"
"2","苏州振旺光电有限公司","C++软件开发工程师","苏州-虎丘","8千-1.5万"
"3","京北方","Java开发工程师","苏州-吴中","1.2万-1.8万"
"4","江苏迈恩信息科技有限公司","初级软件开发工程师","苏州","4千-8千"
"5","慈济慈善事业基金会","软件开发工程师","苏州-姑苏","7千-9千"
"6","上海共睿信息技术有限公司","java开发","苏州-吴中","1.5万-1.8万"
"7","江苏博欧控股有限公司","开发工程师","苏州-昆山","8千-1.2万"
"8","友谊时光科技股份有限公司","java游戏服务器开发","苏州","1.2万-2.4万"
"9","国泰新点软件股份有限公司","C++开发工程师（苏州）","苏州-虎丘","9千-1.4万"
"10","凌志软件","对日Java开发","苏州-工业园区","8千-1.2万"
"11","安徽质创未来数字科技有限公司","Java工程师","苏州-昆山","7千-1万"
"12","北京开科唯识技术股份有限公司深圳分公司","Java开发（张家港农商）","苏州-吴中","1.3万-1.7万"
"13","上海优集工业软件有限公司","Java开发工程师","苏州-吴中","1万-2万"
"14","苏州中桥智能科技有限公司","中级软件开发工程师","苏州-工业园区","1.3万-1.8万"
"15","云计划软件科技","苏州java开发工程师","苏州-虎丘","8千-1.2万"
"16","屹通信息","Java开发工程师","苏州-昆山","1万-1.5万"
"17","珠海赞同科技有限公司","Java开发工程师（银行项目）","苏州-吴中","1万-1.6万"
"18","南京卓尔博智能科技有限公司","Java中级开发工程师","苏州-虎丘","8千-1.5万"
"19","宜通华瑞","Java开发工程师","苏州-昆山","8千-1.3万"
"20","江苏谷科软件有限公司","Java开发","苏州-张家港","1万-1.5万"
"21","苏州航天系统工程有限公司","Java开发工程师","苏州-吴中","1万-2万"
"22","江苏江南商贸集团有限责任公司","Java开发工程师","苏州-常熟","7千-1.4万"
"23","南京至臻医疗科技发展有限公司","java开发工程师","苏州-姑苏","1.2万-1.8万"
"24","苏州七岭山信息科技有限公司","Java开发工程师","苏州-吴中","8千-1.6万"
"25","郑州快码软件科技有限公司","中级java开发工程师","苏州-虎丘","9千-1.2万"
"26","苏州德沃","java开发工程师","苏州-昆山","1.2万-2万"
"27","杰信软件科技（苏州）有限公司","资深Java开发工程师","苏州-吴中","6千-9千"
"28","华启智能","SAP专员（java或ABAP开发）","苏州","1万-1.6万"
"29","苏州益维鑫计算机科技有限公司","初级开发工程师","苏州-吴中","4千-8千"
"0","中电金信软件有限公司","java开发工程师","苏州-吴江","1.2万-1.4万"
"1","苏州众壳科技有限公司","java实习生","苏州-虎丘","面议"
"2","江苏拓普森房地产资产评估规划测绘有限公司","Java开发工程师","苏州-吴中","1万-1.5万"
"3","苏州兴财通用网络科技有限公司","Java软件工程师","苏州-姑苏","7千-1万"
"4","郑州海奥软件科技有限公司","Java开发工程师","苏州-常熟","8千-1.1万"
"5","加百裕（昆山）电子有限公司","计算机软件开发工程师","苏州-昆山","7千-1.2万"
"6","苏州兴财通用网络科技有限公司","java程序员","苏州-姑苏","7千-1万"
"7","智联猎头","Java软件工程师","苏州-吴江","8千-1万"
"8","京北方","java开发","苏州-吴中","1.3万-1.6万"
"9","神彩科技股份有限公司","Java中级开发工程师","苏州","1.2万-2万"
"10","上药控股有限公司","java中高级工程师","苏州-虎丘","1.5万-2万"
"11","苏州泰牛机器人科技有限公司","C＃全栈开发工程师","苏州","9千-1.5万"
"12","苏州清研精准汽车科技有限公司北京分公司","Java工程师","苏州-吴中","1万-2万"
"13","厦门至恒融兴信息技术股份有限公司","java（银行-苏州）","苏州-吴中","1.5万-1.9万"
"14","北京神州数字科技有限公司","java开发工程师","苏州-吴中","1万-2万"
"15","江苏谷科软件有限公司","Java开发工程师","苏州-吴中","1万-1.5万"
"16","凌志软件","对日软件开发工程师","苏州-虎丘","8千-1.3万"
"17","沈阳东硕信息技术有限公司","mes系统开发工程师","苏州-虎丘","1.2万-2万"
"18","博彦科技","中高级Java-苏州","苏州-吴中","1.8万-2万"
"19","京北方","Java开发工程师-苏州","苏州-吴中","1.5万-2.5万"
"20","北京神州数字科技有限公司","Java中级开发工程师（常熟农商）","苏州-吴中","1.2万-1.4万"
"21","北京南天软件有限公司","Java开发工程师（苏州双证学信可查）","苏州-吴中","1.2万-1.8万"
"22","软通动力信息技术(集团)股份有限公司","Java开发工程师（双休+年终奖）","苏州-吴中","1.2万-1.8万"
"23","正将自动化设备（江苏）有限公司","C#.net开发工程师（异地招聘）","苏州-昆山","6千-1.2万"
"24","南京展讯信息科技有限公司","Java高级开发工程师","苏州-常熟","1.3万-1.8万"
"25","苏州益维鑫计算机科技有限公司","开发专员","苏州-吴中","4千-8千"
"26","上海优集工业软件有限公司","PLM开发顾问","苏州-吴中","1万-2万"
"27","凌志软件","软件开发工程师（对日）","苏州-虎丘","8千-1.3万"
"28","新莱洁净","软件助理工程师(MJ000009)","苏州-昆山","6千-9千"
"29","中软国际","中级Java（需要商城经验，学信网统本）","苏州-吴中","面议"
"0","上海坤亿信息技术有限公司","golang开发","苏州-吴中","1.4万-1.5万"
"1","邦鼎智能科技(苏州)有限公司","C#开发工程师","苏州-相城","1万-1.6万"
"2","软通动力信息技术(集团)股份有限公司","开发经理（非外包苏州）","苏州-虎丘","1.5万-2万"
"3","凌志软件","高级Java开发工程师","苏州-虎丘","1.8万-2.2万"
"4","北京神州数字科技有限公司","Java开发工程师","苏州-吴中","1.7万-2.3万"
"5","苏州卓越光华信息技术有限公司","软件开发工程师组长C#","苏州","1万-1.5万"
"6","苏州方兴信息技术有限公司","Java工程师","苏州-张家港","6千-1.2万"
"7","急速国际物流科技(深圳)有限公司","PHP开发工程师","苏州-姑苏","1万-1.5万"
"8","上海朗裕信息科技有限公司","对日Java开发","苏州-吴中","7千-1.1万"
"9","荣旗工业科技(苏州)股份有限公司","上位机软件开发工程师","苏州-吴中","1.2万-2.3万"
"10","凌志软件","软件开发工程师（对日java/前端/cobol）","苏州-虎丘","1万-1.3万"
"11","浩辰软件","C++软件开发工程师","苏州","1万-1.5万"
"12","溧阳储慧智能软件科技有限公司","高级Java开发工程师","苏州-吴中","1.5万-2万"
"13","玉泉区力驰互联网科技工作室","php开发工程师【税后高薪】","苏州-姑苏","1万-1.3万"
"14","中移(苏州)软件技术有限公司","Java","苏州","面议"
