公司名,职位名,工作地点,薪资水平
苏州爱启网络科技有限公司,golang,苏州,9000.0
慧码科技(苏州)有限公司,java,苏州-虎丘,5000.0
苏州启荣信息科技有限公司,c#,苏州,9000.0
深圳市讯方技术股份有限公司,golang,苏州-虎丘,10500.0
江苏明岱信息科技有限公司,java,苏州,10500.0
天津泰达低碳经济促进中心有限公司,java,苏州-吴中,17000.0
大宇宙商业服务(苏州)有限公司,java,苏州,15000.0
昂凯生命科技(苏州)有限公司,python,苏州-虎丘,20000.0
中达电子(江苏)有限公司,python,苏州,12000.0
湖北楚天龙实业有限公司,java,苏州-相城,18000.0
上海朱立业创业孵化器有限公司,java,苏州-虎丘,16500.0
苏州研途教育科技有限公司,python,苏州-虎丘,21000.0
软通动力信息技术(集团)股份有限公司,python,苏州-吴中,16500.0
外企德科,c++,苏州-虎丘,21000.0
苏州保控电子科技有限公司,java,苏州-虎丘,9000.0
苏州爱启网络科技有限公司,golang,苏州,9000.0
苏州瑞艾思机械设备有限公司,java,苏州-吴中,15000.0
外企德科,java,苏州-虎丘,22500.0
外企德科,c++,苏州-虎丘,24000.0
苏州兴财通用网络科技有限公司,java,苏州-姑苏,7000.0
常熟市景弘盛通信科技股份有限公司,java,苏州-常熟,6000.0
苏州众壳科技有限公司,java,苏州-吴中,8000.0
祎智量芯(江苏)电子科技有限公司,java,苏州-太仓,11500.0
苏州品创互联信息技术有限公司,java,苏州-虎丘,5000.0
南京百力奥网络科技有限公司,java,苏州-吴中,10500.0
智林(苏州)数字技术有限公司,java,苏州-吴中,15000.0
北京神州数字科技有限公司,java,苏州-吴中,15000.0
苏州七岭山信息科技有限公司,java,苏州-吴中,6000.0
苏州隆泰信息技术有限公司,java,苏州-虎丘,6000.0
广电运通,java,苏州-吴中,15000.0
北京捷科智诚科技有限公司,java,苏州-吴中,15500.0
深圳润术物联网技术有限公司,java,苏州-昆山,15500.0
南京百房通信息科技有限公司,java,苏州-吴中,10500.0
海隆软件(昆山)有限公司,java,苏州-昆山,6500.0
苏州振旺光电有限公司,c++,苏州-虎丘,11500.0
京北方,java,苏州-吴中,15000.0
上海共睿信息技术有限公司,java,苏州-吴中,16500.0
友谊时光科技股份有限公司,java,苏州,18000.0
国泰新点软件股份有限公司,c++,苏州-虎丘,11500.0
凌志软件,java,苏州-工业园区,10000.0
安徽质创未来数字科技有限公司,java,苏州-昆山,8500.0
北京开科唯识技术股份有限公司深圳分公司,java,苏州-吴中,15000.0
上海优集工业软件有限公司,java,苏州-吴中,15000.0
云计划软件科技,java,苏州-虎丘,10000.0
屹通信息,java,苏州-昆山,12500.0
珠海赞同科技有限公司,java,苏州-吴中,13000.0
南京卓尔博智能科技有限公司,java,苏州-虎丘,11500.0
宜通华瑞,java,苏州-昆山,10500.0
江苏谷科软件有限公司,java,苏州-张家港,12500.0
苏州航天系统工程有限公司,java,苏州-吴中,15000.0
江苏江南商贸集团有限责任公司,java,苏州-常熟,10500.0
南京至臻医疗科技发展有限公司,java,苏州-姑苏,15000.0
苏州七岭山信息科技有限公司,java,苏州-吴中,12000.0
郑州快码软件科技有限公司,java,苏州-虎丘,10500.0
苏州德沃,java,苏州-昆山,16000.0
杰信软件科技（苏州）有限公司,java,苏州-吴中,7500.0
华启智能,java,苏州,13000.0
中电金信软件有限公司,java,苏州,13000.0
江苏拓普森房地产资产评估规划测绘有限公司,java,苏州-吴中,12500.0
苏州兴财通用网络科技有限公司,java,苏州-姑苏,8500.0
郑州海奥软件科技有限公司,java,苏州-常熟,9500.0
苏州兴财通用网络科技有限公司,java,苏州-姑苏,8500.0
智联猎头,java,苏州,9000.0
京北方,java,苏州-吴中,14500.0
神彩科技股份有限公司,java,苏州,16000.0
上药控股有限公司,java,苏州-虎丘,17500.0
苏州清研精准汽车科技有限公司北京分公司,java,苏州-吴中,15000.0
厦门至恒融兴信息技术股份有限公司,java,苏州-吴中,17000.0
江苏谷科软件有限公司,java,苏州-吴中,12500.0
博彦科技,java,苏州-吴中,19000.0
京北方,java,苏州-吴中,20000.0
